genome.position,type,gene,start,end,Operon.ID,strand
74568,Primary.TSS,Rv0066c,74498,74718,44,-
75198,CDS,Rv0067c,75128,75348,45,-
75255,Primary.TSS,Rv0068,75105,75325,46,+
77622,CDS,Rv0069c,77552,77772,47,-
79314,Primary.TSS,Rv0070c,79244,79464,47,-
79486,CDS,Rv0071,79336,79556,48,+
80240,Primary.TSS,Rv0072,80090,80310,49,+
81676,CDS,Rv0073,81526,81746,49,+
82748,CDS,Rv0074,82598,82818,50,+
83996,CDS,Rv0075,83846,84066,50,+
85572,CDS,Rv0076c,85502,85722,51,-
86466,CDS,Rv0077c,86396,86616,52,-
86528,CDS,Rv0078,86378,86598,53,+
88004,Primary.TSS,Rv0078A,87934,88154,54,-
88166,Primary.TSS,Rv0079,88016,88236,55,+
88712,Primary.TSS,Rv0080,88562,88782,55,+
89278,Primary.TSS,Rv0081,89128,89348,56,+
89536,Primary.TSS,Rv0082,89386,89606,56,+
90400,CDS,Rv0083,90250,90470,56,+
92328,CDS,Rv0084,92178,92398,56,+
92828,Primary.TSS,Rv0085,92678,92898,56,+
93951,CDS,Rv0086,93801,94021,56,+
95414,CDS,Rv0087,95264,95484,56,+
96927,CDS,Rv0088,96777,96997,56,+
97758,CDS,Rv0089,97608,97828,57,+
98480,CDS,Rv0090,98330,98550,58,+
99622,Primary.TSS,Rv0091,99472,99692,59,+
100583,CDS,Rv0092,100946,101166,60,+
103663,CDS,Rv0093c,103593,103813,61,-
104663,CDS,Rv0094c,104593,104813,62,-
105215,CDS,Rv0095c,105145,105365,63,-
105324,CDS,Rv0096,105174,105394,64,+
106734,CDS,Rv0097,106584,106804,64,+
107600,CDS,Rv0098,107450,107670,64,+
108156,CDS,Rv0099,108006,108226,64,+
109783,CDS,Rv0100,109633,109853,64,+
110001,CDS,Rv0101,109851,110071,64,+
117714,Primary.TSS,Rv0102,117564,117784,65,+
122199,Primary.TSS,Rv0103c,122129,122349,66,-
122317,CDS,Rv0104,123060,123280,67,+
124264,CDS,Rv0105c,124194,124414,68,-
124374,CDS,Rv0106,124224,124444,69,+
130541,CDS,Rv0107c,130471,130691,70,-
131130,Primary.TSS,Rv0108c,131060,131280,71,-
131340,Primary.TSS,Rv0109,131190,131410,72,+
132914,Primary.TSS,Rv0110,132764,132984,73,+
133845,Primary.TSS,Rv0111,133695,133915,74,+
136142,Primary.TSS,Rv0112,135992,136212,75,+
137319,CDS,Rv0113,137169,137389,76,+
137941,CDS,Rv0114,137791,138011,76,+
138513,CDS,Rv0115,138363,138583,76,+
141054,Primary.TSS,Rv0116c,140984,141204,77,-
141172,Primary.TSS,Rv0117,141022,141242,78,+
143876,Primary.TSS,Rv0118c,143806,144026,79,-
144049,CDS,Rv0119,143899,144119,80,+
147828,Primary.TSS,Rv0120c,147758,147978,81,-
148342,Primary.TSS,Rv0121c,148272,148492,82,-
148491,CDS,Rv0122,148341,148561,83,+
148856,CDS,Rv0123,148706,148926,83,+
149533,CDS,Rv0124,149383,149603,84,+
151075,Primary.TSS,Rv0125,150925,151145,85,+
152323,Primary.TSS,Rv0126,152173,152393,86,+
154232,CDS,Rv0127,154555,154775,87,+
155667,CDS,Rv0128,156102,156322,88,+
157653,Primary.TSS,Rv0129c,157583,157803,89,-
157830,Primary.TSS,Rv0130,157680,157900,90,+
159658,CDS,Rv0131c,159588,159808,91,-
160782,CDS,Rv0132c,160712,160932,92,-
160869,Primary.TSS,Rv0133,160719,160939,93,+
161768,Primary.TSS,Rv0134,161618,161838,94,+
163249,CDS,Rv0135c,163179,163399,95,-
163366,CDS,Rv0136,163216,163436,96,+
165271,Primary.TSS,Rv0137c,165201,165421,97,-
165294,Primary.TSS,Rv0138,165144,165364,98,+
165827,CDS,Rv0139,165677,165897,98,+
166910,CDS,Rv0140,166955,167175,99,+
167684,Primary.TSS,Rv0141c,167614,167834,100,-
167572,Primary.TSS,Rv0142,167422,167642,101,+
170182,CDS,Rv0143c,170112,170332,102,-
170284,CDS,Rv0144,170659,170879,103,+
171214,Primary.TSS,Rv0145,171064,171284,104,+
172211,CDS,Rv0146,172061,172281,105,+
173231,Primary.TSS,Rv0147,173081,173301,106,+
174833,CDS,Rv0148,174683,174903,107,+
175373,Primary.TSS,Rv0149,175223,175443,107,+
177341,Primary.TSS,Rv0150c,177271,177491,108,-
179309,CDS,Rv0151c,179239,179459,109,-
180896,CDS,Rv0152c,180826,181046,109,-
181985,CDS,Rv0153c,181915,182135,110,-
183210,Primary.TSS,Rv0154c,183140,183360,110,-
183622,CDS,Rv0155,183472,183692,111,+
184723,CDS,Rv0156,184573,184793,111,+
185052,CDS,Rv0157,184902,185122,111,+
186620,Primary.TSS,Rv0157A,186550,186770,112,-
186720,Primary.TSS,Rv0158,186570,186790,113,+
188839,CDS,Rv0159c,188769,188989,114,-
190439,CDS,Rv0160c,190369,190589,115,-
190607,CDS,Rv0161,190457,190677,116,+
193360,Primary.TSS,Rv0162c,193290,193510,117,-
193117,Primary.TSS,Rv0163,192967,193187,118,+
193626,CDS,Rv0164,193521,193741,119,+
194931,Primary.TSS,Rv0165c,194861,195081,120,-
194917,Primary.TSS,Rv0166,194767,194987,121,+
196735,Primary.TSS,Rv0167,196585,196805,122,+
197660,CDS,Rv0168,197510,197730,122,+
198534,CDS,Rv0169,198384,198604,122,+
199895,CDS,Rv0170,199745,199965,122,+
200932,CDS,Rv0171,200782,201002,122,+
202476,CDS,Rv0172,202326,202546,122,+
204065,CDS,Rv0173,203915,204135,122,+
205224,Primary.TSS,Rv0174,205074,205294,122,+
206648,Primary.TSS,Rv0175,206498,206718,122,+
207452,CDS,Rv0176,207302,207522,122,+
208324,Primary.TSS,Rv0177,208174,208394,122,+
208759,Primary.TSS,Rv0178,208609,208829,122,+
210817,Primary.TSS,Rv0179c,210747,210967,123,-
212250,CDS,Rv0180c,212180,212400,124,-
213011,CDS,Rv0181c,212941,213161,124,-
214579,Primary.TSS,Rv0182c,214509,214729,124,-
214087,Primary.TSS,Rv0183,213937,214157,125,+
214969,Primary.TSS,Rv0184,214819,215039,126,+
215715,CDS,Rv0185,215565,215785,126,+
216269,CDS,Rv0186,217865,218085,127,+
218392,Primary.TSS,Rv0187,218242,218462,128,+
219486,CDS,Rv0188,219595,219815,129,+
221723,Primary.TSS,Rv0189c,221653,221873,130,-
221819,Primary.TSS,Rv0190,221669,221889,131,+
222289,CDS,Rv0191,222139,222359,132,+
223564,CDS,Rv0192,223414,223634,132,+
223579,Primary.TSS,Rv0192A,223429,223649,132,+
226571,CDS,Rv0193c,226501,226721,133,-
226878,CDS,Rv0194,229567,229787,134,+
230613,Primary.TSS,Rv0195,230463,230683,135,+
231647,CDS,Rv0196,231497,231717,136,+
232231,CDS,Rv0197,232081,232301,136,+
236681,Primary.TSS,Rv0198c,236611,236831,137,-
236550,Primary.TSS,Rv0199,236400,236620,138,+
237206,CDS,Rv0200,237056,237276,138,+
238559,Primary.TSS,Rv0201c,238489,238709,139,-
241335,Primary.TSS,Rv0202c,241265,241485,139,-
241514,CDS,Rv0203,241364,241584,140,+
243214,Primary.TSS,Rv0204c,243144,243364,141,-
243384,Primary.TSS,Rv0205,243234,243454,142,+
247527,Primary.TSS,Rv0206c,247457,247677,143,-
248471,Primary.TSS,Rv0207c,248401,248621,144,-
248906,CDS,Rv0208c,248836,249056,144,-
249020,Primary.TSS,Rv0209,248870,249090,145,+
250120,CDS,Rv0210,249970,250190,145,+
251674,Primary.TSS,Rv0211,251524,251744,146,+
254666,Primary.TSS,Rv0212c,254596,254816,147,-
255950,CDS,Rv0213c,255880,256100,147,-
256064,CDS,Rv0214,255914,256134,148,+
258856,CDS,Rv0215c,258786,259006,149,-
258903,Primary.TSS,Rv0216,258753,258973,150,+
260831,Primary.TSS,Rv0217c,260761,260981,151,-
260924,CDS,Rv0218,260774,260994,152,+
262254,CDS,Rv0219,262104,262324,152,+
262812,Primary.TSS,Rv0220,262662,262882,152,+
264067,CDS,Rv0221,263917,264137,153,+
265507,CDS,Rv0222,265357,265577,153,+
267764,CDS,Rv0223c,267694,267914,154,-
268627,CDS,Rv0224c,268557,268777,155,-
268662,Primary.TSS,Rv0225,268512,268732,156,+
271564,CDS,Rv0226c,271494,271714,157,-
272839,CDS,Rv0227c,272769,272989,157,-
273055,CDS,Rv0228,272905,273125,158,+
274986,CDS,Rv0229c,274916,275136,159,-
275963,CDS,Rv0230c,275893,276113,159,-
276025,Primary.TSS,Rv0231,275875,276095,160,+
277876,Primary.TSS,Rv0232,277726,277946,161,+
278585,CDS,Rv0233,278435,278655,161,+
281140,CDS,Rv0234c,281070,281290,162,-
282614,CDS,Rv0235c,282544,282764,162,-
287111,Primary.TSS,Rv0236A,287041,287261,163,-
286897,Primary.TSS,Rv0236c,286827,287047,164,-
287118,Primary.TSS,Rv0237,286968,287188,165,+
288396,Primary.TSS,Rv0238,288246,288466,166,+
289087,Primary.TSS,Rv0239,288937,289157,167,+
289115,Primary.TSS,Rv0240,288965,289185,167,+
290654,CDS,Rv0241c,290584,290804,168,-
292114,Primary.TSS,Rv0242c,292044,292264,168,-
292134,Primary.TSS,Rv0243,291984,292204,169,+
295712,Primary.TSS,Rv0244c,295642,295862,170,-
295687,Primary.TSS,Rv0245,295537,295757,171,+
296809,CDS,Rv0246,297370,297590,172,+
298862,CDS,Rv0247c,298792,299012,173,-
301301,Primary.TSS,Rv0248c,301231,301451,173,-
301683,Primary.TSS,Rv0249c,301613,301833,173,-
302068,Primary.TSS,Rv0250c,301998,302218,174,-
302652,CDS,Rv0251c,302582,302802,175,-
302866,CDS,Rv0252,302716,302936,176,+
305453,CDS,Rv0253,305303,305523,176,+
306349,CDS,Rv0254c,306279,306499,177,-
307858,CDS,Rv0255c,307788,308008,177,-
309839,Primary.TSS,Rv0256c,309769,309989,177,-
309699,CDS,Rv0257,309689,309909,178,+
310749,Primary.TSS,Rv0258c,310679,310899,179,-
311517,CDS,Rv0259c,311447,311667,179,-
312659,CDS,Rv0260c,312589,312809,179,-
314168,CDS,Rv0261c,314098,314318,180,-
314854,Primary.TSS,Rv0262c,314784,315004,181,-
315766,CDS,Rv0263c,315696,315916,181,-
316415,CDS,Rv0264c,316345,316565,181,-
317503,Primary.TSS,Rv0265c,317433,317653,182,-
321154,CDS,Rv0266c,321084,321304,182,-
321331,CDS,Rv0267,321181,321401,183,+
323301,Primary.TSS,Rv0268c,323231,323451,184,-
324531,CDS,Rv0269c,324461,324681,185,-
324567,Primary.TSS,Rv0270,324417,324637,186,+
328499,Primary.TSS,Rv0271c,328429,328649,187,-
329719,Primary.TSS,Rv0272c,329649,329869,188,-
330350,Primary.TSS,Rv0273c,330280,330500,188,-
330374,Primary.TSS,Rv0274,330224,330444,189,+
331693,Primary.TSS,Rv0275c,331623,331843,190,-
331705,Primary.TSS,Rv0276,331555,331775,191,+
333136,CDS,Rv0277c,333066,333286,192,-
336310,CDS,Rv0278c,336240,336460,193,-
339073,CDS,Rv0279c,339003,339223,194,-
339322,Primary.TSS,Rv0280,339172,339392,195,+
340998,Primary.TSS,Rv0281,340848,341068,195,+
341976,Primary.TSS,Rv0282,341826,342046,196,+
343687,Primary.TSS,Rv0283,343537,343757,196,+
345432,Primary.TSS,Rv0284,345282,345502,196,+
349624,CDS,Rv0285,349474,349694,196,+
349935,CDS,Rv0286,349785,350005,196,+
351525,CDS,Rv0287,351375,351595,197,+
351848,CDS,Rv0288,351698,351918,197,+
352149,CDS,Rv0289,351999,352219,197,+
353083,CDS,Rv0290,352933,353153,198,+
354498,CDS,Rv0291,354348,354568,198,+
355880,CDS,Rv0292,355730,355950,198,+
358074,Primary.TSS,Rv0293c,358004,358224,199,-
358171,CDS,Rv0294,358021,358241,200,+
359748,Primary.TSS,Rv0295c,359678,359898,201,-
361198,Primary.TSS,Rv0296c,361128,361348,201,-
361265,Primary.TSS,Rv0297,361115,361335,202,+
363252,Primary.TSS,Rv0298,363102,363322,203,+
363476,CDS,Rv0299,363326,363546,203,+
363826,Primary.TSS,Rv0300,363676,363896,204,+
364044,CDS,Rv0301,363894,364114,204,+
364523,Primary.TSS,Rv0302,364373,364593,205,+
365234,CDS,Rv0303,365084,365304,205,+
372764,CDS,Rv0304c,372694,372914,206,-
375746,Primary.TSS,Rv0305c,375676,375896,207,-
375914,CDS,Rv0306,375764,375984,208,+
377055,Primary.TSS,Rv0307c,376985,377205,209,-
377113,Primary.TSS,Rv0308,376963,377183,210,+
377931,Primary.TSS,Rv0309,377781,378001,211,+
379148,CDS,Rv0310c,379078,379298,212,-
379172,Primary.TSS,Rv0311,379022,379242,213,+
380521,Primary.TSS,Rv0312,380371,380591,214,+
382470,Primary.TSS,Rv0313,382320,382540,215,+
383587,Primary.TSS,Rv0314c,383517,383737,216,-
383602,CDS,Rv0315,383458,383678,217,+
384535,CDS,Rv0316,384722,384942,218,+
385967,Primary.TSS,Rv0317c,385897,386117,219,-
387099,CDS,Rv0318c,387029,387249,220,-
387083,Primary.TSS,Rv0319,386933,387153,221,+
387888,CDS,Rv0320,387738,387958,222,+
388582,Primary.TSS,Rv0321,388432,388652,222,+
389260,CDS,Rv0322,390190,390410,223,+
391251,CDS,Rv0323c,391181,391401,224,-
391352,CDS,Rv0324,391202,391422,225,+
392039,CDS,Rv0325,391889,392109,225,+
392273,CDS,Rv0326,392123,392343,225,+
394045,CDS,Rv0327c,393975,394195,226,-
394111,Primary.TSS,Rv0328,393961,394181,227,+
395320,CDS,Rv0329c,395250,395470,228,-
396087,CDS,Rv0330c,396017,396237,228,-
396168,Primary.TSS,Rv0331,396018,396238,229,+
397442,CDS,Rv0332,397292,397512,230,+
398254,Primary.TSS,Rv0333,398104,398324,230,+
398658,CDS,Rv0334,398508,398728,230,+
400050,CDS,Rv0335c,399980,400200,231,-
400168,Primary.TSS,Rv0336,400018,400238,232,+
403162,CDS,Rv0337c,403092,403312,233,-
405887,Primary.TSS,Rv0338c,405817,406037,233,-
408465,Primary.TSS,Rv0339c,408395,408615,234,-
408596,Primary.TSS,Rv0340,408446,408666,235,+
409309,Primary.TSS,Rv0341,409159,409379,236,+
410727,Primary.TSS,Rv0342,410577,410797,236,+
412695,Primary.TSS,Rv0343,412545,412765,236,+
414941,CDS,Rv0344c,414871,415091,237,-
415044,Primary.TSS,Rv0345,414894,415114,238,+
417027,Primary.TSS,Rv0346c,416957,417177,239,-
417304,CDS,Rv0347,417154,417374,240,+
418293,CDS,Rv0348,418143,418363,240,+
418842,Primary.TSS,Rv0349,418692,418912,240,+
419779,Primary.TSS,Rv0350,419629,419849,241,+
421709,CDS,Rv0351,421559,421779,241,+
422404,Primary.TSS,Rv0352,422254,422474,241,+
423374,Primary.TSS,Rv0353,423224,423444,241,+
424694,CDS,Rv0354c,424624,424844,242,-
434762,Primary.TSS,Rv0355c,434692,434912,243,-
435474,CDS,Rv0356c,435404,435624,244,-
436769,CDS,Rv0357c,436699,436919,244,-
436578,Primary.TSS,Rv0358,436428,436648,245,+
437518,Primary.TSS,Rv0359,437368,437588,245,+
438739,CDS,Rv0360c,438669,438889,246,-
438790,Primary.TSS,Rv0361,438640,438860,247,+
439871,CDS,Rv0362,439721,439941,248,+
442325,Primary.TSS,Rv0363c,442255,442475,249,-
442394,Primary.TSS,Rv0364,442244,442464,250,+
444197,CDS,Rv0365c,444127,444347,251,-
444815,CDS,Rv0366c,444745,444965,251,-
445259,Primary.TSS,Rv0367c,445189,445409,251,-
446525,CDS,Rv0368c,446455,446675,252,-
447046,CDS,Rv0369c,446976,447196,252,-
448043,CDS,Rv0370c,447973,448193,253,-
448633,CDS,Rv0371c,448563,448783,253,-
449385,CDS,Rv0372c,449315,449535,253,-
451803,CDS,Rv0373c,451733,451953,253,-
452279,CDS,Rv0374c,452209,452429,253,-
453154,CDS,Rv0375c,453084,453304,253,-
454372,CDS,Rv0376c,454302,454522,254,-
454421,Primary.TSS,Rv0377,454271,454491,255,+
455637,CDS,Rv0378,455487,455707,256,+
455974,Primary.TSS,Rv0379,455824,456044,257,+
456819,CDS,Rv0380c,456749,456969,258,-
457823,CDS,Rv0381c,457753,457973,259,-
458380,CDS,Rv0382c,458310,458530,259,-
459317,Primary.TSS,Rv0383c,459247,459467,260,-
462022,Primary.TSS,Rv0384c,461952,462172,261,-
462133,Primary.TSS,Rv0385,461983,462203,262,+
463411,CDS,Rv0386,463261,463481,263,+
467406,CDS,Rv0387c,467336,467556,264,-
468245,Primary.TSS,Rv0388c,468175,468395,265,-
468295,Primary.TSS,Rv0389,468145,468365,266,+
469591,Primary.TSS,Rv0390,469441,469661,266,+
470010,CDS,Rv0391,469860,470080,266,+
472669,Primary.TSS,Rv0392c,472599,472819,267,-
472781,CDS,Rv0393,472631,472851,268,+
474841,Primary.TSS,Rv0394c,474771,474991,269,-
474940,CDS,Rv0395,474790,475010,270,+
475350,CDS,Rv0396,475200,475420,270,+
475816,CDS,Rv0397,475977,476197,271,+
477320,CDS,Rv0398c,477250,477470,272,-
478556,CDS,Rv0399c,478486,478706,272,-
479753,Primary.TSS,Rv0400c,479683,479903,272,-
479789,CDS,Rv0401,479639,479859,273,+
483231,CDS,Rv0402c,483161,483381,274,-
483656,CDS,Rv0403c,483586,483806,274,-
483754,Primary.TSS,Rv0404,483604,483824,275,+
485731,CDS,Rv0405,485581,485801,275,+
490705,CDS,Rv0406c,490635,490855,276,-
490783,Primary.TSS,Rv0407,490633,490853,277,+
491786,CDS,Rv0408,491636,491856,277,+
493851,CDS,Rv0409,493701,493921,277,+
497314,CDS,Rv0410c,497244,497464,278,-
498300,CDS,Rv0411c,498230,498450,278,-
499663,Primary.TSS,Rv0412c,499593,499813,278,-
499713,CDS,Rv0413,499596,499816,279,+
501018,CDS,Rv0414c,500948,501168,280,-
501049,Primary.TSS,Rv0415,500899,501119,281,+
502167,CDS,Rv0416,502017,502237,281,+
502366,CDS,Rv0417,502216,502436,281,+
503495,Primary.TSS,Rv0418,503345,503565,282,+
505051,Primary.TSS,Rv0419,504901,505121,283,+
506971,CDS,Rv0420c,506901,507121,284,-
507761,CDS,Rv0421c,507691,507911,285,-
508555,CDS,Rv0422c,508485,508705,285,-
510322,Primary.TSS,Rv0423c,510252,510472,285,-
510652,CDS,Rv0424c,510582,510802,286,-
515321,CDS,Rv0425c,515251,515471,287,-
515930,Primary.TSS,Rv0426c,515860,516080,288,-
516892,Primary.TSS,Rv0427c,516822,517042,289,-
517803,CDS,Rv0428c,517733,517953,289,-
518396,Primary.TSS,Rv0429c,518326,518546,289,-
518703,Primary.TSS,Rv0430,518553,518773,290,+
519073,CDS,Rv0431,518923,519143,290,+
519600,Primary.TSS,Rv0432,519450,519670,290,+
520324,CDS,Rv0433,520174,520394,290,+
521514,CDS,Rv0434,521364,521584,291,+
524844,Primary.TSS,Rv0435c,524774,524994,292,-
525390,CDS,Rv0436c,525320,525540,292,-
526082,CDS,Rv0437c,526012,526232,292,-
527360,CDS,Rv0438c,527290,527510,293,-
528314,Primary.TSS,Rv0439c,528244,528464,293,-
528608,CDS,Rv0440,529910,530130,294,+
530724,Primary.TSS,Rv0441c,530654,530874,295,-
532307,Primary.TSS,Rv0442c,532237,532457,295,-
532396,Primary.TSS,Rv0443,532246,532466,296,+
533789,CDS,Rv0444c,533719,533939,297,-
534398,Primary.TSS,Rv0445c,534328,534548,298,-
535480,Primary.TSS,Rv0446c,535410,535630,299,-
536507,CDS,Rv0447c,536437,536657,299,-
537169,CDS,Rv0448c,537099,537319,299,-
538548,CDS,Rv0449c,538478,538698,300,-
541949,Primary.TSS,Rv0450c,541879,542099,300,-
542096,Primary.TSS,Rv0451c,542026,542246,300,-
542142,CDS,Rv0452,542010,542230,301,+
543174,CDS,Rv0453,544576,544796,302,+
544835,CDS,Rv0454,544964,545184,303,+
545821,Primary.TSS,Rv0455c,545751,545971,304,-
547481,Primary.TSS,Rv0456A,547411,547631,305,-
546803,Primary.TSS,Rv0456c,546733,546953,306,-
549607,CDS,Rv0457c,549537,549757,307,-
549644,Primary.TSS,Rv0458,549494,549714,308,+
551198,CDS,Rv0459,551048,551268,308,+
551710,Primary.TSS,Rv0460,551560,551780,309,+
552026,CDS,Rv0461,551876,552096,309,+
552614,Primary.TSS,Rv0462,552464,552684,310,+
554016,CDS,Rv0463,553866,554086,310,+
555117,Primary.TSS,Rv0464c,555047,555267,311,-
556306,Primary.TSS,Rv0465c,556236,556456,311,-
556404,Primary.TSS,Rv0466,556254,556474,312,+
557436,Primary.TSS,Rv0467,557286,557506,313,+
558895,CDS,Rv0468,559600,559820,314,+
559861,Primary.TSS,Rv0469,559711,559931,315,+
562294,CDS,Rv0470A,562224,562444,316,-
561787,Primary.TSS,Rv0470c,561717,561937,317,-
562713,Primary.TSS,Rv0471c,562643,562863,318,-
563452,Primary.TSS,Rv0472c,563382,563602,318,-
563567,Primary.TSS,Rv0473,563417,563637,319,+
564987,Primary.TSS,Rv0474,564837,565057,320,+
565797,CDS,Rv0475,565647,565867,321,+
566484,Primary.TSS,Rv0476,566334,566554,322,+
566776,CDS,Rv0477,566626,566846,322,+
566840,Primary.TSS,Rv0478,566690,566910,322,+
568967,Primary.TSS,Rv0479c,568897,569117,323,-
569806,CDS,Rv0480c,569736,569956,323,-
570512,CDS,Rv0481c,570442,570662,324,-
570539,CDS,Rv0482,570686,570906,325,+
571710,CDS,Rv0483,572608,572828,326,+
574279,Primary.TSS,Rv0484c,574209,574429,327,-
573837,Primary.TSS,Rv0485,573687,573907,328,+
574903,Primary.TSS,Rv0486,574753,574973,329,+
576787,CDS,Rv0487,576637,576857,329,+
577664,CDS,Rv0488,577514,577734,330,+
578426,Primary.TSS,Rv0489,578276,578496,331,+
579290,Primary.TSS,Rv0490,579140,579360,332,+
580809,CDS,Rv0491,580659,580879,333,+
583704,CDS,Rv0492A,583634,583854,334,-
583378,CDS,Rv0492c,583308,583528,335,-
584690,CDS,Rv0493c,584620,584840,335,-
584695,CDS,Rv0494,584545,584765,336,+
586314,CDS,Rv0495c,586244,586464,337,-
586346,Primary.TSS,Rv0496,586196,586416,338,+
587377,CDS,Rv0497,587227,587447,338,+
588325,CDS,Rv0498,588175,588395,338,+
589183,CDS,Rv0499,589033,589253,338,+
589897,Primary.TSS,Rv0500,589747,589967,338,+
591041,Primary.TSS,Rv0500A,590891,591111,339,+
591447,Primary.TSS,Rv0500B,591297,591517,340,+
591654,Primary.TSS,Rv0501,591504,591724,341,+
592713,Primary.TSS,Rv0502,592563,592783,341,+
594780,Primary.TSS,Rv0503c,594710,594930,342,-
595302,CDS,Rv0504c,595232,595452,342,-
596642,Primary.TSS,Rv0505c,596572,596792,343,-
596655,Primary.TSS,Rv0506,596505,596725,344,+
597199,CDS,Rv0507,597049,597269,344,+
600098,CDS,Rv0508,599948,600168,344,+
600397,Primary.TSS,Rv0509,600247,600467,345,+
601857,CDS,Rv0510,601707,601927,345,+
602389,Primary.TSS,Rv0511,602239,602459,345,+
604602,CDS,Rv0512,604452,604672,346,+
605604,CDS,Rv0513,605454,605674,346,+
606149,CDS,Rv0514,605999,606219,346,+
606527,Primary.TSS,Rv0515,606377,606597,347,+
608588,Primary.TSS,Rv0516c,608518,608738,348,-
608716,Primary.TSS,Rv0517,608566,608786,349,+
610117,Primary.TSS,Rv0518,609967,610187,350,+
612074,CDS,Rv0519c,612004,612224,351,-
612255,CDS,Rv0520,612105,612325,352,+
612598,CDS,Rv0521,612448,612668,352,+
612908,Primary.TSS,Rv0522,612758,612978,353,+
614814,Primary.TSS,Rv0523c,614744,614964,354,-
614835,Primary.TSS,Rv0524,614685,614905,355,+
616223,CDS,Rv0525,616073,616293,355,+
616846,CDS,Rv0526,616696,616916,355,+
617493,CDS,Rv0527,617343,617563,355,+
618305,CDS,Rv0528,618155,618375,355,+
619891,CDS,Rv0529,619741,619961,355,+
620907,CDS,Rv0530,621136,621356,356,+
622329,Primary.TSS,Rv0531,622179,622399,357,+
622793,CDS,Rv0532,622643,622863,358,+
625551,Primary.TSS,Rv0533c,625481,625701,359,-
626440,CDS,Rv0534c,626370,626590,360,-
626441,Primary.TSS,Rv0535,626291,626511,361,+
627248,CDS,Rv0536,627098,627318,361,+
629973,Primary.TSS,Rv0537c,629903,630123,362,-
629935,Primary.TSS,Rv0538,629785,630005,363,+
631743,CDS,Rv0539,631593,631813,364,+
632372,CDS,Rv0540,632222,632442,364,+
634404,CDS,Rv0541c,634334,634554,365,-
635504,CDS,Rv0542c,635434,635654,365,-
